table_id,Facility,Unit_or_Service,Intervention_Name,Metric_Name,Metric_Definition,Submetric,Baseline_Value,Baseline_Period,Post_Value,Post_Period,Delta_Value,Delta_Percent,Target_Goal,Status_Flag,Sample_Size_Baseline,Sample_Size_Post,Cost_Savings_Estimate,Staff_Hours_Saved,Patient_Safety_Impact,Satisfaction_Score_Impact,Notes,Last_Updated
Inpatient_LOS,Community Campus,Radiology,Workflow redesign,Turnover Time,OR room turnover time in minutes,Turnover Time-Radiology,2.79,2024-07 to 2024-12,7.064593054,2025-01 to 2025-06,4.27,153.21,2.47,Red,943,359,46574.86,119,Moderate,10,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,Radiology,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-Radiology,17.68,2024-07 to 2024-12,22.3604445,2025-01 to 2025-06,4.68,26.47,15.88,Red,948,303,11628.74,173,High,10,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Radiology,Cycle time optimization,Throughput,Number of patients processed per day,Throughput-Radiology,13.84,2024-07 to 2024-12,14.50299594,2025-01 to 2025-06,0.66,4.79,13.09,Yellow,440,795,41902.58,177,Low,7,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,ED,Triage automation,Throughput,Number of patients processed per day,Throughput-ED,10.42,2024-07 to 2024-12,12.08647773,2025-01 to 2025-06,1.67,15.99,9.46,Yellow,430,647,37879.51,125,Moderate,8,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Radiology,Lean turnover project,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Radiology,17.05,2024-07 to 2024-12,19.70687356,2025-01 to 2025-06,2.66,15.58,13.86,Red,836,113,9058.57,120,Moderate,3,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Med-Surg,Workflow redesign,Readmission,Percentage of patients readmitted within 30 days,Readmission-Med-Surg,7.99,2024-07 to 2024-12,7.521510108,2025-01 to 2025-06,-0.47,-5.86,6.77,Yellow,970,399,23394.6,59,Moderate,2,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Radiology,Lean turnover project,LOS,Length of stay in days,LOS-Radiology,11.58,2024-07 to 2024-12,10.5885236,2025-01 to 2025-06,-0.99,-8.56,10.55,Yellow,229,926,37167.24,234,High,6,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Med-Surg,Triage automation,Turnover Time,OR room turnover time in minutes,Turnover Time-Med-Surg,6.66,2024-07 to 2024-12,5.69904472,2025-01 to 2025-06,-0.96,-14.43,6.31,Green,706,823,33166.72,317,Low,7,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,OR,Triage automation,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-OR,11.07,2024-07 to 2024-12,13.1561199,2025-01 to 2025-06,2.09,18.84,10.19,Yellow,901,985,35930,297,Moderate,3,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Ambulatory,Triage automation,Readmission,Percentage of patients readmitted within 30 days,Readmission-Ambulatory,6.17,2024-07 to 2024-12,6.52605344,2025-01 to 2025-06,0.36,5.77,5.41,Yellow,934,269,36033.59,214,Low,3,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Med-Surg,Lean turnover project,LOS,Length of stay in days,LOS-Med-Surg,14.13,2024-07 to 2024-12,13.47715395,2025-01 to 2025-06,-0.65,-4.62,12.22,Yellow,196,526,42529.81,273,Moderate,1,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Radiology,Workflow redesign,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Radiology,2.05,2024-07 to 2024-12,6.685092892,2025-01 to 2025-06,4.64,226.1,1.72,Red,602,433,22099.3,357,Moderate,8,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,ICU,Lean turnover project,Readmission,Percentage of patients readmitted within 30 days,Readmission-ICU,18.85,2024-07 to 2024-12,15.76993748,2025-01 to 2025-06,-3.08,-16.34,16.99,Green,925,486,18072.78,194,Low,4,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,OR,Cycle time optimization,Throughput,Number of patients processed per day,Throughput-OR,19,2024-07 to 2024-12,18.57057563,2025-01 to 2025-06,-0.43,-2.26,15.73,Yellow,704,202,4497.7,252,Low,7,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,ICU,Cycle time optimization,Readmission,Percentage of patients readmitted within 30 days,Readmission-ICU,4.77,2024-07 to 2024-12,8.804393412,2025-01 to 2025-06,4.03,84.58,4.43,Red,980,940,43694.62,21,High,3,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,ICU,Lean turnover project,Readmission,Percentage of patients readmitted within 30 days,Readmission-ICU,18.68,2024-07 to 2024-12,21.99344724,2025-01 to 2025-06,3.31,17.74,17.53,Red,365,225,6772.01,25,Low,9,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Ambulatory,Workflow redesign,No-Show,Percentage of patients missing appointments,No-Show-Ambulatory,12.04,2024-07 to 2024-12,11.5678461,2025-01 to 2025-06,-0.47,-3.92,10.38,Yellow,451,725,5806.05,95,Moderate,8,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ED,Cycle time optimization,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-ED,9.55,2024-07 to 2024-12,6.196261297,2025-01 to 2025-06,-3.35,-35.12,7.67,Green,166,458,41743.94,194,Moderate,10,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Ambulatory,Triage automation,No-Show,Percentage of patients missing appointments,No-Show-Ambulatory,12.63,2024-07 to 2024-12,14.07239557,2025-01 to 2025-06,1.44,11.42,10.53,Red,310,762,27343.78,90,Moderate,8,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,OR,Workflow redesign,Throughput,Number of patients processed per day,Throughput-OR,17.4,2024-07 to 2024-12,14.51773554,2025-01 to 2025-06,-2.88,-16.56,15.1,Green,970,450,22558.66,110,Low,1,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Ambulatory,Triage automation,Throughput,Number of patients processed per day,Throughput-Ambulatory,4.66,2024-07 to 2024-12,9.091521531,2025-01 to 2025-06,4.43,95.1,3.95,Red,977,687,29291.92,303,Moderate,8,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Med-Surg,Cycle time optimization,Turnover Time,OR room turnover time in minutes,Turnover Time-Med-Surg,18.19,2024-07 to 2024-12,18.15184165,2025-01 to 2025-06,-0.04,-0.21,14.57,Red,133,521,18892.99,331,Low,5,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,ED,Workflow redesign,Wait Time,Average wait time before service,Wait Time-ED,12.31,2024-07 to 2024-12,11.9030137,2025-01 to 2025-06,-0.41,-3.31,11.44,Yellow,457,399,20319.61,66,Low,3,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,ED,Workflow redesign,Readmission,Percentage of patients readmitted within 30 days,Readmission-ED,17.3,2024-07 to 2024-12,18.98445434,2025-01 to 2025-06,1.68,9.74,13.96,Red,136,156,26985.58,246,Moderate,8,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,ED,Cycle time optimization,Throughput,Number of patients processed per day,Throughput-ED,8.28,2024-07 to 2024-12,6.364308649,2025-01 to 2025-06,-1.92,-23.14,7.6,Green,371,613,26024.57,118,Low,4,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Ambulatory,Triage automation,Throughput,Number of patients processed per day,Throughput-Ambulatory,9.05,2024-07 to 2024-12,5.507453039,2025-01 to 2025-06,-3.54,-39.14,8.47,Green,684,536,30533.14,240,Low,6,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Ambulatory,Triage automation,Throughput,Number of patients processed per day,Throughput-Ambulatory,8.95,2024-07 to 2024-12,9.288304954,2025-01 to 2025-06,0.34,3.78,7.34,Yellow,456,130,15909.16,421,Low,5,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,ED,Workflow redesign,Wait Time,Average wait time before service,Wait Time-ED,9.36,2024-07 to 2024-12,5.742763525,2025-01 to 2025-06,-3.62,-38.65,7.65,Green,773,198,21628.15,436,High,10,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,ED,Triage automation,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-ED,5.26,2024-07 to 2024-12,1.166266036,2025-01 to 2025-06,-4.09,-77.83,4.52,Green,302,736,7446.49,137,Low,1,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Ambulatory,Triage automation,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Ambulatory,6.06,2024-07 to 2024-12,3.080125379,2025-01 to 2025-06,-2.98,-49.17,5.32,Green,932,128,12655.72,319,Moderate,2,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,OR,Triage automation,No-Show,Percentage of patients missing appointments,No-Show-OR,3.53,2024-07 to 2024-12,2.660062731,2025-01 to 2025-06,-0.87,-24.64,3.06,Green,776,171,25491.46,46,Low,1,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Radiology,Workflow redesign,No-Show,Percentage of patients missing appointments,No-Show-Radiology,3.26,2024-07 to 2024-12,1.673751948,2025-01 to 2025-06,-1.59,-48.66,2.93,Green,979,301,48817.69,430,Low,3,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Radiology,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-Radiology,5.35,2024-07 to 2024-12,3.819676101,2025-01 to 2025-06,-1.53,-28.6,4.33,Green,251,220,29642.03,345,Low,2,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Ambulatory,Workflow redesign,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Ambulatory,16.81,2024-07 to 2024-12,17.16336584,2025-01 to 2025-06,0.35,2.1,14.99,Yellow,850,519,8803.21,337,Low,2,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,OR,Workflow redesign,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-OR,3.22,2024-07 to 2024-12,7.847113884,2025-01 to 2025-06,4.63,143.7,2.66,Red,818,650,24951.72,329,Moderate,1,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Ambulatory,Workflow redesign,No-Show,Percentage of patients missing appointments,No-Show-Ambulatory,2.22,2024-07 to 2024-12,3.692363986,2025-01 to 2025-06,1.47,66.32,1.9,Yellow,440,749,8903.93,268,Low,3,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Ambulatory,Lean turnover project,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Ambulatory,18.41,2024-07 to 2024-12,20.76147725,2025-01 to 2025-06,2.35,12.77,17.35,Red,640,633,11700.63,380,Low,4,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,ED,Cycle time optimization,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-ED,3.09,2024-07 to 2024-12,0,2025-01 to 2025-06,-3.09,-100,2.68,Green,267,407,35580.75,32,Low,7,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,Med-Surg,Triage automation,No-Show,Percentage of patients missing appointments,No-Show-Med-Surg,4.49,2024-07 to 2024-12,3.893349429,2025-01 to 2025-06,-0.6,-13.29,3.68,Yellow,916,786,34840.23,15,Moderate,9,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,ED,Lean turnover project,Wait Time,Average wait time before service,Wait Time-ED,6.26,2024-07 to 2024-12,3.462467583,2025-01 to 2025-06,-2.8,-44.69,5.36,Green,690,343,17657.75,308,High,10,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,OR,Triage automation,Turnover Time,OR room turnover time in minutes,Turnover Time-OR,19.4,2024-07 to 2024-12,19.84559467,2025-01 to 2025-06,0.45,2.3,16.1,Red,423,162,38844.5,22,High,3,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Radiology,Workflow redesign,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Radiology,6.5,2024-07 to 2024-12,5.805722838,2025-01 to 2025-06,-0.69,-10.68,5.53,Yellow,720,643,42268.54,74,Moderate,3,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Ambulatory,Workflow redesign,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Ambulatory,16.85,2024-07 to 2024-12,14.00498937,2025-01 to 2025-06,-2.85,-16.88,14.81,Green,217,654,33696.01,40,Moderate,1,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,Med-Surg,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-Med-Surg,5.81,2024-07 to 2024-12,5.405604511,2025-01 to 2025-06,-0.4,-6.96,4.74,Yellow,803,528,12393.79,309,High,7,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Radiology,Workflow redesign,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Radiology,11.57,2024-07 to 2024-12,10.37954212,2025-01 to 2025-06,-1.19,-10.29,10.04,Yellow,974,937,41331.42,68,Moderate,6,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,Med-Surg,Workflow redesign,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Med-Surg,18.45,2024-07 to 2024-12,15.85882876,2025-01 to 2025-06,-2.59,-14.04,15.41,Yellow,996,184,42345.31,137,High,1,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,OR,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-OR,6.38,2024-07 to 2024-12,9.850154928,2025-01 to 2025-06,3.47,54.39,5.65,Red,787,834,13501.93,482,Low,2,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,ICU,Workflow redesign,Readmission,Percentage of patients readmitted within 30 days,Readmission-ICU,15.1,2024-07 to 2024-12,12.4369022,2025-01 to 2025-06,-2.66,-17.64,13.48,Green,104,371,36673.66,112,Low,7,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Med-Surg,Workflow redesign,Turnover Time,OR room turnover time in minutes,Turnover Time-Med-Surg,5.74,2024-07 to 2024-12,4.355494236,2025-01 to 2025-06,-1.38,-24.12,5.33,Green,981,325,10466.01,355,Moderate,9,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Med-Surg,Cycle time optimization,Wait Time,Average wait time before service,Wait Time-Med-Surg,14.59,2024-07 to 2024-12,17.78834818,2025-01 to 2025-06,3.2,21.92,12.6,Red,155,682,2072.16,233,High,1,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Ambulatory,Lean turnover project,Turnover Time,OR room turnover time in minutes,Turnover Time-Ambulatory,7.34,2024-07 to 2024-12,2.825056091,2025-01 to 2025-06,-4.51,-61.51,6.4,Green,238,998,32648.37,265,Low,7,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,ED,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-ED,3.58,2024-07 to 2024-12,3.78916173,2025-01 to 2025-06,0.21,5.84,3.24,Yellow,422,492,15143.61,279,High,8,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Ambulatory,Cycle time optimization,Readmission,Percentage of patients readmitted within 30 days,Readmission-Ambulatory,8.04,2024-07 to 2024-12,5.273380937,2025-01 to 2025-06,-2.77,-34.41,7.48,Green,251,444,10802.87,55,Low,6,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ICU,Workflow redesign,LOS,Length of stay in days,LOS-ICU,7.4,2024-07 to 2024-12,7.761811586,2025-01 to 2025-06,0.36,4.89,6.64,Yellow,906,174,25456.76,345,Moderate,6,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,ED,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-ED,17.26,2024-07 to 2024-12,18.55758991,2025-01 to 2025-06,1.3,7.52,13.86,Red,141,235,23297.33,242,Moderate,7,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ICU,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-ICU,4.05,2024-07 to 2024-12,8.452215681,2025-01 to 2025-06,4.4,108.7,3.83,Red,361,215,45421.92,267,High,1,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,ED,Workflow redesign,Readmission,Percentage of patients readmitted within 30 days,Readmission-ED,5.65,2024-07 to 2024-12,6.115907137,2025-01 to 2025-06,0.47,8.25,5.22,Yellow,257,313,14798.19,377,High,9,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Med-Surg,Workflow redesign,Turnover Time,OR room turnover time in minutes,Turnover Time-Med-Surg,14.99,2024-07 to 2024-12,18.22789934,2025-01 to 2025-06,3.24,21.6,12.59,Red,518,348,39350.6,412,Low,10,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ED,Lean turnover project,Turnover Time,OR room turnover time in minutes,Turnover Time-ED,14.15,2024-07 to 2024-12,9.919774453,2025-01 to 2025-06,-4.23,-29.9,11.56,Green,439,242,36683.39,433,Moderate,3,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,ICU,Lean turnover project,Turnover Time,OR room turnover time in minutes,Turnover Time-ICU,15.11,2024-07 to 2024-12,16.45679699,2025-01 to 2025-06,1.35,8.91,13.58,Yellow,444,321,30971.94,13,Moderate,6,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Radiology,Cycle time optimization,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Radiology,12.93,2024-07 to 2024-12,12.77650006,2025-01 to 2025-06,-0.15,-1.19,11.42,Yellow,462,822,16311.71,370,High,5,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,OR,Lean turnover project,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-OR,3.78,2024-07 to 2024-12,0,2025-01 to 2025-06,-3.78,-100,3.16,Green,735,712,7436.09,170,Low,2,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,ICU,Workflow redesign,LOS,Length of stay in days,LOS-ICU,5.79,2024-07 to 2024-12,1.127416029,2025-01 to 2025-06,-4.66,-80.53,5.11,Green,630,628,16905.13,192,Moderate,6,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ED,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-ED,4.32,2024-07 to 2024-12,4.938986586,2025-01 to 2025-06,0.62,14.33,3.78,Yellow,206,293,23680.09,294,Moderate,7,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,ICU,Workflow redesign,Wait Time,Average wait time before service,Wait Time-ICU,14.56,2024-07 to 2024-12,12.37182188,2025-01 to 2025-06,-2.19,-15.03,12.72,Green,266,425,33510.69,235,Low,6,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Ambulatory,Cycle time optimization,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Ambulatory,13.56,2024-07 to 2024-12,11.20493144,2025-01 to 2025-06,-2.36,-17.37,12.16,Green,751,630,40892,238,High,3,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Radiology,Triage automation,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Radiology,2.22,2024-07 to 2024-12,2.375491935,2025-01 to 2025-06,0.16,7,1.96,Yellow,968,805,28410.58,227,Low,5,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,Radiology,Workflow redesign,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Radiology,13.15,2024-07 to 2024-12,11.213696,2025-01 to 2025-06,-1.94,-14.72,11.64,Green,205,586,5573.02,396,High,6,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,OR,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-OR,14.74,2024-07 to 2024-12,15.14823749,2025-01 to 2025-06,0.41,2.77,13.99,Yellow,760,829,41801.03,307,Low,2,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,OR,Workflow redesign,Wait Time,Average wait time before service,Wait Time-OR,13.68,2024-07 to 2024-12,11.38254523,2025-01 to 2025-06,-2.3,-16.79,12.74,Green,992,374,40684.69,304,Low,6,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,ED,Triage automation,Throughput,Number of patients processed per day,Throughput-ED,3.36,2024-07 to 2024-12,2.506032083,2025-01 to 2025-06,-0.85,-25.42,3.03,Green,859,217,29216.83,79,Moderate,7,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,OR,Workflow redesign,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-OR,7.85,2024-07 to 2024-12,7.687550102,2025-01 to 2025-06,-0.16,-2.07,6.84,Yellow,477,625,37503.87,249,High,7,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Ambulatory,Triage automation,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Ambulatory,11.5,2024-07 to 2024-12,9.889647527,2025-01 to 2025-06,-1.61,-14,10.88,Green,691,447,37462.43,478,High,5,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Ambulatory,Triage automation,No-Show,Percentage of patients missing appointments,No-Show-Ambulatory,15.93,2024-07 to 2024-12,12.09904491,2025-01 to 2025-06,-3.83,-24.05,13.02,Green,978,546,33656.71,182,Low,5,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,Radiology,Workflow redesign,No-Show,Percentage of patients missing appointments,No-Show-Radiology,6.27,2024-07 to 2024-12,9.556045618,2025-01 to 2025-06,3.29,52.41,5.09,Red,541,925,34812.26,431,High,2,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ICU,Triage automation,No-Show,Percentage of patients missing appointments,No-Show-ICU,14.25,2024-07 to 2024-12,12.82210988,2025-01 to 2025-06,-1.43,-10.02,11.57,Yellow,360,278,44991.79,346,Low,4,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,Med-Surg,Cycle time optimization,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Med-Surg,5.29,2024-07 to 2024-12,4.979440024,2025-01 to 2025-06,-0.31,-5.87,4.91,Yellow,907,108,47988.19,104,High,6,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,OR,Triage automation,Readmission,Percentage of patients readmitted within 30 days,Readmission-OR,5.54,2024-07 to 2024-12,5.220320594,2025-01 to 2025-06,-0.32,-5.77,4.86,Yellow,430,377,24110.12,287,High,1,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Med-Surg,Workflow redesign,No-Show,Percentage of patients missing appointments,No-Show-Med-Surg,19.58,2024-07 to 2024-12,23.53793383,2025-01 to 2025-06,3.96,20.21,16.12,Red,542,324,31241.95,309,Moderate,7,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,OR,Lean turnover project,Wait Time,Average wait time before service,Wait Time-OR,11.24,2024-07 to 2024-12,6.565927146,2025-01 to 2025-06,-4.67,-41.58,9.56,Green,905,586,41083.48,264,Moderate,9,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,ED,Workflow redesign,No-Show,Percentage of patients missing appointments,No-Show-ED,15.54,2024-07 to 2024-12,12.97910978,2025-01 to 2025-06,-2.56,-16.48,12.79,Yellow,190,324,19013.8,345,Moderate,9,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ICU,Cycle time optimization,Wait Time,Average wait time before service,Wait Time-ICU,3.83,2024-07 to 2024-12,6.432782058,2025-01 to 2025-06,2.6,67.96,3.25,Red,481,208,15352.42,434,High,3,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,OR,Workflow redesign,Throughput,Number of patients processed per day,Throughput-OR,14.35,2024-07 to 2024-12,19.34314418,2025-01 to 2025-06,4.99,34.8,12.38,Red,280,382,21460.38,263,Low,8,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,ED,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-ED,9.16,2024-07 to 2024-12,11.31911664,2025-01 to 2025-06,2.16,23.57,7.34,Red,593,447,33291.72,339,High,8,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ED,Triage automation,Turnover Time,OR room turnover time in minutes,Turnover Time-ED,6.45,2024-07 to 2024-12,6.383599693,2025-01 to 2025-06,-0.07,-1.03,5.57,Yellow,997,547,44359.16,191,Moderate,5,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Med-Surg,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-Med-Surg,9.08,2024-07 to 2024-12,5.001390443,2025-01 to 2025-06,-4.08,-44.92,8.02,Green,446,856,12014.4,237,Low,5,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Radiology,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Radiology,7.88,2024-07 to 2024-12,4.651549448,2025-01 to 2025-06,-3.23,-40.97,6.99,Green,180,639,45346.53,363,High,7,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Radiology,Cycle time optimization,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Radiology,13.9,2024-07 to 2024-12,14.61575765,2025-01 to 2025-06,0.72,5.15,11.52,Red,170,851,35780.1,195,Moderate,1,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ED,Cycle time optimization,Turnover Time,OR room turnover time in minutes,Turnover Time-ED,18.56,2024-07 to 2024-12,19.41476081,2025-01 to 2025-06,0.85,4.61,15.67,Red,137,473,14894.61,383,Low,1,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Radiology,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-Radiology,10.53,2024-07 to 2024-12,10.28089841,2025-01 to 2025-06,-0.25,-2.37,9.02,Yellow,875,706,22002.19,367,High,10,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,OR,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-OR,14.41,2024-07 to 2024-12,11.65915227,2025-01 to 2025-06,-2.75,-19.09,12.42,Green,532,849,24864.31,474,High,1,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Ambulatory,Cycle time optimization,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Ambulatory,4.94,2024-07 to 2024-12,2.281194827,2025-01 to 2025-06,-2.66,-53.82,4.44,Green,986,272,37155.81,498,High,8,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,OR,Lean turnover project,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-OR,19.4,2024-07 to 2024-12,17.03965682,2025-01 to 2025-06,-2.36,-12.17,17.82,Green,918,194,1829.78,289,Low,8,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,ED,Lean turnover project,Wait Time,Average wait time before service,Wait Time-ED,5.13,2024-07 to 2024-12,1.561904376,2025-01 to 2025-06,-3.57,-69.55,4.29,Green,140,944,43668.37,215,Low,6,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ICU,Triage automation,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-ICU,8.43,2024-07 to 2024-12,8.893837087,2025-01 to 2025-06,0.46,5.5,7.58,Yellow,120,383,1288.33,391,Low,7,Monitored for trend post intervention.,8/19/2025
